,Company Name,Continent,Country,Visit ID,Visitor ID,Channel Group,Channel Medium,User Identification,Visit Date,Visit Start Time,Time on Site,Visits,Hits,Page Views,Event_buttonclick,Downloads,Video Views,Web Pages
14,Hartman-Rubio,EU,Svalbard and Jan Mayen,2053384699,06719096355320,Direct,None,Known Visitior,2023-11-08,12:14:00,49,7,8,1,4,2,1,fakepage.co.uk/main
15,Smith and Sons,EU,Liechtenstein,1487952335,54600325210503,Organic Social,LinkedIn,IP Address,2023-10-24,02:13:00,74,1,2,1,1,0,0,fakepage.co.uk/aboutus
16,"Morgan, Hodge and Lee",AS,Kazakhstan,2704806094,96871901044192,Organic Search,Google,Known Visitior,2023-01-18,09:00:25,178,3,6,1,5,0,0,fakepage.co.uk/aboutus
17,Nolan-Johnson,EU,Luxembourg,9278675833,39379352275244,Direct,None,IP Address,2023-08-17,15:59:08,142,1,2,1,1,0,0,fakepage.co.uk/main
18,Clark-Lawson,NA,Saint Martin (French part),9496562316,17458329908245,Organic Social,Twitter,IP Address,2023-01-16,19:03:53,93,1,2,1,1,0,0,fakepage.co.uk/main
19,Henson-Bonilla,NA,Turks and Caicos Islands,8034377767,11260694395668,Paid Search,Google,IP Address,2023-10-29,02:26:14,60,1,2,1,1,0,0,fakepage.co.uk/products
20,Hicks-Nelson,EU,United Kingdom,8263133703,67624079935440,Paid Search,Google,IP Address,2023-07-08,01:25:45,95,1,2,1,1,0,0,fakepage.co.uk/products
21,Evans PLC,NA,Dominican Republic,9801527405,73452993407838,Paid Search,Google,Known Visitior,2023-07-01,05:47:14,89,5,8,1,3,1,2,fakepage.co.uk/main
22,"Martinez, Fuller and Thornton",NA,"Virgin Islands, U.S.",8225304531,76640461904876,Paid Search,Google,Known Visitior,2023-10-22,04:37:34,54,6,7,1,2,3,1,fakepage.co.uk/aboutus
23,Miller Ltd,AS,"Korea, Republic of",7446945891,56716287150439,Direct,None,Known Visitior,2023-06-30,10:10:07,52,4,7,1,5,1,0,fakepage.co.uk/products
24,Mann Inc,AS,"Korea, Republic of",0087540069,38302711887763,Direct,None,Known Visitior,2023-06-30,21:26:23,32,3,5,1,3,1,0,fakepage.co.uk/main
25,Schneider-Gonzalez,NA,Dominica,9360929073,00175329086693,Paid Search,Google,Known Visitior,2023-05-01,01:38:48,93,2,3,1,2,0,0,fakepage.co.uk/products
26,Gonzalez-Sanchez,EU,Bosnia and Herzegovina,0507236087,43655688414831,Direct,None,Known Visitior,2023-09-02,07:41:44,81,55,80,8,25,3,1,fakepage.co.uk/boom
27,,NA,Greenland,9454547589,86670445622095,Paid Search,Google,Marketo,2023-09-24,14:37:34,86,29,48,7,11,3,3,fakepage.co.uk/main
28,Miller-Stephenson,EU,Ireland,6046308988,46437446115401,Direct,None,Known Visitior,2023-02-04,00:05:17,58,2,3,1,2,0,0,fakepage.co.uk/products
29,Tucker Ltd,EU,Albania,3657963420,10056178909427,Paid Search,Google,Known Visitior,2023-01-18,02:47:38,123,12,20,12,6,2,0,fakepage.co.uk/products
30,Ramos-Foley,EU,Lithuania,6831751838,59371396535191,Paid Search,Google,IP Address,2023-05-11,22:02:13,122,1,2,1,1,0,0,fakepage.co.uk/products
31,Coffey-Collins,NA,"Bonaire, Sint Eustatius and Saba",0503605823,38571874640414,Organic Social,Twitter,IP Address,2023-05-01,13:56:58,78,1,2,1,1,0,0,fakepage.co.uk/main
32,"Hicks, Barnes and Garcia",EU,Netherlands,1714155876,03746804009801,Paid Search,Google,IP Address,2023-08-01,10:20:16,121,1,2,1,1,0,0,fakepage.co.uk/products
33,"Watson, Martin and Harper",EU,"Moldova, Republic of",8519755398,60721487911871,Paid Search,Google,Known Visitior,2023-07-10,22:21:27,93,2,4,1,2,1,0,fakepage.co.uk/products
34,Murphy Group,EU,Netherlands,7499296728,66131426882484,Referral,Partner-site,Known Visitior,2023-03-06,22:19:23,15,76,80,12,35,2,4,fakepage.co.uk/main
35,,NA,Costa Rica,2163785692,17646991708473,Email,Promo-Campaign,IP Address,2023-06-01,15:31:36,46,1,2,1,1,0,0,fakepage.co.uk/aboutus
36,,NA,"Virgin Islands, British",1843628643,86331109394331,Paid Search,Google,Marketo,2023-09-26,21:28:02,30,4,5,1,2,1,1,fakepage.co.uk/boom
37,,AS,Myanmar,8224233406,73723401316654,Direct,None,IP Address,2023-01-08,20:20:05,125,1,2,1,1,0,0,fakepage.co.uk/products
38,"Lawson, Elliott and Clark",AS,Cambodia,0190478310,04156813259833,Email,Newsletter,Known Visitior,2023-03-13,02:02:13,44,2,4,1,3,0,0,fakepage.co.uk/aboutus
39,,EU,Faroe Islands,3942415166,70611055473622,Email,Targeted Ad,Known Visitior,2023-09-09,14:32:05,92,6,11,4,7,0,0,fakepage.co.uk/boom
40,Massey-White,AS,Syrian Arab Republic,3675504269,30315043908381,Paid Search,Google,IP Address,2023-05-14,10:15:34,15,1,2,1,1,0,0,fakepage.co.uk/boom
41,Taylor PLC,EU,France,8544865040,68282063428612,Organic Search,Google,IP Address,2023-04-22,00:37:37,80,1,2,1,1,0,0,fakepage.co.uk/products
42,Arellano Ltd,AS,Jordan,5515702352,51691254563452,Email,Targeted Ad,Marketo,2023-02-01,10:48:19,29,2,4,1,3,0,0,fakepage.co.uk/main
43,Smith-Middleton,EU,Spain,4517566924,06014967064065,Paid Search,Google,IP Address,2023-10-15,15:00:41,62,1,2,1,1,0,0,fakepage.co.uk/main
44,Rivera Inc,AS,Philippines,9243767050,17925322965840,Paid Search,Google,Known Visitior,2023-04-30,21:38:28,109,5,7,1,4,1,1,fakepage.co.uk/main
45,,EU,Lithuania,0737325558,41085406558917,Direct,None,Known Visitior,2023-10-09,10:58:21,73,94,120,9,63,3,4,fakepage.co.uk/main
46,Cochran LLC,EU,Svalbard and Jan Mayen,6940996794,70812059165864,Referral,Otherwebsite_placeholder,Known Visitior,2023-01-02,20:11:43,37,3,4,1,2,1,0,fakepage.co.uk/boom
47,Gill Ltd,EU,Germany,3507838592,04119667793469,Email,Newsletter,IP Address,2023-11-20,01:19:53,154,1,2,1,1,0,0,fakepage.co.uk/products
48,"Montgomery, Brown and Zhang",EU,Jersey,0832718094,50139255742162,Paid Search,Google,Known Visitior,2023-11-25,01:41:17,17,10,15,9,2,2,2,fakepage.co.uk/main
49,,NA,Grenada,4975126679,52169290863887,Organic Search,Bing,Known Visitior,2023-06-29,12:01:41,15,5,8,1,4,2,1,fakepage.co.uk/main
50,,EU,Finland,3080154592,47335189343771,Direct,None,Known Visitior,2023-06-24,14:06:49,53,35,39,14,15,1,1,fakepage.co.uk/main
51,"Bates, Dawson and Rodriguez",EU,Belgium,5567201600,74894636805204,Email,Promo-Campaign,Known Visitior,2023-10-08,15:05:03,69,2,4,1,3,0,0,fakepage.co.uk/products
52,Terry Group,EU,Czechia,7677316613,92105310137514,Email,Promo-Campaign,Known Visitior,2023-02-13,23:37:39,56,44,56,4,15,3,4,fakepage.co.uk/products
53,Elliott PLC,AS,Thailand,4033707327,76495399023665,Direct,None,IP Address,2023-04-13,03:39:56,88,1,2,1,1,0,0,fakepage.co.uk/main
54,Padilla Inc,NA,Guatemala,7700153642,63546660642515,Organic Search,Google,Known Visitior,2023-03-18,12:51:54,132,2,4,1,2,1,0,fakepage.co.uk/products
55,Harris-Edwards,EU,Albania,6494604766,73766991681254,Direct,None,IP Address,2023-07-04,04:09:04,118,1,2,1,1,0,0,fakepage.co.uk/products
56,Jones-Richards,EU,Belgium,2921535464,22509978171591,Paid Search,Google,IP Address,2023-02-12,13:16:32,36,1,2,1,1,0,0,fakepage.co.uk/products
57,,EU,Bulgaria,0221903792,91579311571329,Organic Search,Google,Marketo,2023-11-03,20:15:58,89,12,20,10,10,0,0,fakepage.co.uk/products
58,Allen and Sons,EU,Guernsey,4420826663,05856045137365,Paid Search,Google,Marketo,2023-09-27,23:59:12,70,6,8,1,5,1,1,fakepage.co.uk/products
59,"Mendoza, Shaffer and Kennedy",NA,Saint Lucia,4735017906,35689992132871,Email,Newsletter,Known Visitior,2023-02-14,14:21:26,15,2,4,1,2,1,0,fakepage.co.uk/boom
60,Parker-Thompson,EU,Latvia,5408153087,42705665030806,Organic Social,LinkedIn,Marketo,2023-07-26,08:54:28,124,2,3,1,2,0,0,fakepage.co.uk/products
61,"Cole, Hernandez and David",AS,Indonesia,1544426792,43712800147092,Organic Search,Bing,IP Address,2023-01-31,15:41:18,96,1,2,1,1,0,0,fakepage.co.uk/main
62,"Black, Anderson and Duran",EU,Czechia,4551089752,61970240076724,Direct,None,Known Visitior,2023-09-15,13:41:31,82,5,7,1,4,1,1,fakepage.co.uk/main
63,"Davis, Miranda and Delgado",AS,Mongolia,1312537161,46632158390904,Direct,None,Known Visitior,2023-12-31,11:14:00,36,2,3,1,2,0,0,fakepage.co.uk/main
64,Avila LLC,EU,Albania,5888978571,26553060248397,Organic Search,Google,Known Visitior,2023-09-14,02:14:49,64,26,42,6,21,1,4,fakepage.co.uk/aboutus
65,,NA,Grenada,7440910040,16645414440731,Organic Search,Google,Known Visitior,2023-06-19,22:12:28,31,2,3,1,2,0,0,fakepage.co.uk/products
66,"Lewis, Stephens and Phillips",AS,Philippines,3950892638,08328492135795,Paid Search,Google,Marketo,2023-01-04,18:23:06,34,3,6,1,4,1,0,fakepage.co.uk/products
67,,NA,Guadeloupe,6625179144,16324746502142,Direct,None,IP Address,2023-01-11,20:32:49,15,1,2,1,1,0,0,fakepage.co.uk/products
68,"Brooks, Osborn and Young",EU,Faroe Islands,6237730854,88805801213094,Paid Search,Bing,IP Address,2023-03-10,04:25:56,123,1,2,1,1,0,0,fakepage.co.uk/main
69,"Mitchell, Carpenter and Kelley",AS,Oman,6024639930,15053408671000,Organic Search,Google,IP Address,2023-09-08,11:16:36,128,1,2,1,1,0,0,fakepage.co.uk/aboutus
70,Rowland-Keller,NA,Saint Lucia,0796327621,29755933610346,Direct,None,Known Visitior,2023-11-22,21:55:10,105,3,5,1,4,0,0,fakepage.co.uk/boom
71,,NA,Turks and Caicos Islands,1474476561,71001651342161,Direct,None,IP Address,2023-09-07,18:14:22,15,1,2,1,1,0,0,fakepage.co.uk/products
72,,EU,Svalbard and Jan Mayen,4160681136,29920761281553,Paid Search,Google,IP Address,2023-02-08,01:59:41,122,1,2,1,1,0,0,fakepage.co.uk/main
73,,EU,Croatia,4448404911,24857527791684,Paid Search,Google,IP Address,2023-01-07,09:43:55,39,1,2,1,1,0,0,fakepage.co.uk/products
74,,NA,Bahamas,8500024849,75262537665563,Direct,None,IP Address,2023-09-25,10:35:56,15,1,2,1,1,0,0,fakepage.co.uk/products
75,"Simmons, Gilbert and Williams",EU,Isle of Man,1595422701,71829213594084,Organic Social,Facebook,Marketo,2023-06-28,17:31:10,130,3,5,1,2,2,0,fakepage.co.uk/main
76,,EU,France,0238231355,40276691866384,Organic Search,Bing,IP Address,2023-07-30,12:15:21,15,1,2,1,1,0,0,fakepage.co.uk/products
77,"Whitaker, Lawrence and Browning",EU,North Macedonia,4348199144,86646144558597,Direct,None,IP Address,2023-06-12,02:34:13,52,1,2,1,1,0,0,fakepage.co.uk/main
78,English and Sons,EU,Switzerland,3278616738,79571012722352,Direct,None,Known Visitior,2023-03-08,12:27:19,84,15,24,5,14,3,1,fakepage.co.uk/main
79,"Griffith, Choi and Hernandez",EU,Belarus,4793769813,52047431117583,Paid Search,Google,IP Address,2023-10-19,18:07:46,27,1,2,1,1,0,0,fakepage.co.uk/products
80,,EU,Gibraltar,7560659038,24073087564442,Paid Search,Bing,Known Visitior,2023-03-05,00:01:02,125,9,10,9,1,0,0,fakepage.co.uk/main
81,"Goodwin, Alvarez and Gomez",EU,Albania,3485363492,92947275192576,Organic Search,Google,Known Visitior,2023-12-29,00:09:57,157,5,8,1,2,3,1,fakepage.co.uk/boom
82,,EU,Isle of Man,0863001544,56492671656007,Paid Search,Google,IP Address,2023-05-07,20:57:31,117,1,2,1,1,0,0,fakepage.co.uk/main
83,"Bender, Moore and Bryant",EU,Russian Federation,9885684337,31984134890360,Email,Newsletter,Known Visitior,2023-10-17,08:34:01,89,3,5,1,4,0,0,fakepage.co.uk/main
84,,NA,Saint Pierre and Miquelon,2595550971,99436005622059,Paid Search,Google,Known Visitior,2023-04-03,04:45:30,63,4,6,1,3,2,0,fakepage.co.uk/products
85,,EU,Gibraltar,6883287167,28194584318984,Referral,Otherwebsite_placeholder,Known Visitior,2023-06-08,00:02:39,113,2,4,1,2,1,0,fakepage.co.uk/main
86,,EU,Ukraine,6186367641,98197226348074,Paid Search,Google,Known Visitior,2023-04-09,23:22:45,15,5,9,1,7,1,0,fakepage.co.uk/products
87,,EU,Serbia,1780292380,84871026347598,Paid Search,Google,IP Address,2023-02-04,23:49:45,15,1,2,1,1,0,0,fakepage.co.uk/main
88,"Huang, Kim and Diaz",EU,Slovenia,3907573068,94410528700930,Direct,None,Known Visitior,2023-04-24,18:42:14,15,4,6,1,4,1,0,fakepage.co.uk/main
89,Jackson-Burton,AS,"Iran, Islamic Republic of",1206589064,21885113225872,Paid Search,Google,IP Address,2023-11-25,10:03:36,26,1,2,1,1,0,0,fakepage.co.uk/products
90,Morton-Smith,EU,Romania,0059340836,74736344793220,Direct,None,IP Address,2023-03-04,10:53:24,15,1,2,1,1,0,0,fakepage.co.uk/main
91,,EU,Montenegro,3891158274,56032668383717,Email,Promo-Campaign,IP Address,2023-06-01,05:31:04,52,1,2,1,1,0,0,fakepage.co.uk/main
92,"Pierce, Hamilton and Sullivan",AS,Thailand,7276041050,70609243962579,Paid Search,Google,IP Address,2023-10-11,20:07:42,61,1,2,1,1,0,0,fakepage.co.uk/main
93,"Green, Webb and Stark",EU,Ireland,7700140326,71689558180498,Paid Search,Bing,IP Address,2023-08-25,12:37:31,15,1,2,1,1,0,0,fakepage.co.uk/main
94,Miller-Young,NA,United States,8399232626,06064875929657,Paid Search,Google,IP Address,2023-08-21,14:29:02,23,1,2,1,1,0,0,fakepage.co.uk/products
95,,EU,Guernsey,6111433452,00958522915788,Organic Social,Facebook,IP Address,2023-01-15,05:09:30,60,1,2,1,1,0,0,fakepage.co.uk/main
96,"Booker, Dunn and Castro",EU,"Moldova, Republic of",9766542864,79710012797416,Organic Social,Facebook,Known Visitior,2023-04-04,16:10:09,135,5,6,1,2,2,1,fakepage.co.uk/main
97,Robbins PLC,EU,Poland,9504776796,36274182420001,Organic Search,Google,IP Address,2023-02-11,22:29:30,37,1,2,1,1,0,0,fakepage.co.uk/main
98,"Wright, Johnson and Rivers",NA,Saint Martin (French part),1379888766,08845934527812,Paid Search,Google,IP Address,2023-04-20,06:07:01,51,1,2,1,1,0,0,fakepage.co.uk/products
99,Martinez PLC,AS,Türkiye,8805711211,24732854701144,Email,Newsletter,Known Visitior,2023-10-24,04:05:39,148,2,3,1,2,0,0,fakepage.co.uk/main
100,,EU,Croatia,5644764208,72394254066138,Paid Search,Google,IP Address,2023-04-10,00:20:37,40,1,2,1,1,0,0,fakepage.co.uk/main
101,"Martin, Wood and Patel",AS,Azerbaijan,9667250187,07937029409375,Paid Search,Bing,IP Address,2023-09-28,00:54:46,72,1,2,1,1,0,0,fakepage.co.uk/main
102,"Hill, James and Gray",EU,Greece,8108090794,90240041660083,Direct,None,Known Visitior,2023-08-01,05:13:55,15,4,6,1,3,2,0,fakepage.co.uk/main
103,"Pennington, Fuentes and Murphy",NA,Curaçao,7011392094,60454758053252,Direct,None,Known Visitior,2023-02-03,04:02:02,56,2,4,1,3,0,0,fakepage.co.uk/boom
104,"Johnson, Thompson and Dougherty",AS,"Iran, Islamic Republic of",8535728687,36949517430452,Direct,None,IP Address,2023-05-19,19:08:08,65,1,2,1,1,0,0,fakepage.co.uk/products
105,"Walker, Rogers and Bartlett",EU,Belgium,6924216606,94019412303641,Organic Search,Google,IP Address,2023-10-24,21:59:00,106,1,2,1,1,0,0,fakepage.co.uk/products
106,Perez-Watkins,NA,El Salvador,7202889626,93575293954403,Referral,Otherwebsite_placeholder,IP Address,2023-02-02,00:58:29,21,1,2,1,1,0,0,fakepage.co.uk/boom
107,"Johnson, Hill and Lopez",EU,Liechtenstein,5667685542,93949769126938,Paid Search,Google,Known Visitior,2023-08-21,10:31:48,15,2,3,1,2,0,0,fakepage.co.uk/main
108,"Rasmussen, Carrillo and Cunningham",NA,Puerto Rico,7193223046,29947708354134,Direct,None,Known Visitior,2023-11-04,07:52:32,95,9,18,9,7,1,1,fakepage.co.uk/main
109,Williams Inc,NA,Turks and Caicos Islands,6170305396,87237385702713,Paid Search,Google,Known Visitior,2023-07-01,13:36:53,30,9,15,7,7,1,0,fakepage.co.uk/main
110,"Russell, Johnson and Olson",NA,Cuba,0906098772,85995466436218,Paid Search,Google,Known Visitior,2023-03-24,21:54:55,143,17,29,14,11,2,1,fakepage.co.uk/products
111,"White, Brennan and Williamson",EU,San Marino,3452947036,82201532348655,Direct,None,IP Address,2023-03-04,11:09:28,15,1,2,1,1,0,0,fakepage.co.uk/main
112,,AS,United Arab Emirates,9714028505,65747647103801,Organic Search,Bing,IP Address,2023-12-24,20:30:55,96,1,2,1,1,0,0,fakepage.co.uk/main
113,,NA,Puerto Rico,6590655500,82575943751641,Paid Search,Google,Known Visitior,2023-04-17,21:02:56,93,2,3,1,2,0,0,fakepage.co.uk/products
114,"Avery, Cole and Thomas",EU,Denmark,7104235237,56155639479113,Paid Search,Bing,Marketo,2023-12-19,21:26:07,63,63,121,7,98,3,1,fakepage.co.uk/boom
115,,AS,"Taiwan, Province of China",6413373452,72736347519739,Paid Search,Google,IP Address,2023-01-13,20:30:49,126,1,2,1,1,0,0,fakepage.co.uk/products
116,,EU,Netherlands,7979132315,94930901880779,Organic Search,Bing,Marketo,2023-10-30,04:23:08,106,4,8,1,6,1,0,fakepage.co.uk/main
117,Mitchell PLC,NA,Honduras,0793627173,28373453481992,Direct,None,IP Address,2023-09-08,15:59:27,60,1,2,1,1,0,0,fakepage.co.uk/main
118,Smith-Archer,EU,United Kingdom,4495152418,16426851136588,Organic Social,LinkedIn,IP Address,2023-10-27,20:44:23,64,1,2,1,1,0,0,fakepage.co.uk/products
119,"Kim, Reynolds and Brooks",EU,Croatia,6112889357,47087329013506,Organic Search,Google,Known Visitior,2023-04-13,23:47:49,73,5,9,1,4,3,1,fakepage.co.uk/main
120,Thomas-Ramos,EU,Bulgaria,7968266359,41370599763265,Paid Search,Google,Known Visitior,2023-12-17,14:01:06,49,8,16,3,11,1,1,fakepage.co.uk/main
121,,EU,Hungary,7383294624,40451659003607,Paid Search,Google,Known Visitior,2023-11-15,05:40:08,119,2,3,1,2,0,0,fakepage.co.uk/aboutus
122,"Johnson, Vance and Scott",EU,Estonia,9881346782,55900306201205,Paid Search,Google,IP Address,2023-07-13,04:04:08,120,1,2,1,1,0,0,fakepage.co.uk/products
123,,AS,Philippines,2224140069,70758488238629,Email,Promo-Campaign,IP Address,2023-06-13,11:16:44,15,1,2,1,1,0,0,fakepage.co.uk/products
124,"Martin, Reed and Gutierrez",EU,Faroe Islands,2893130403,38789300802845,Direct,None,Known Visitior,2023-05-10,03:05:20,112,3,5,1,4,0,0,fakepage.co.uk/main
125,,EU,Spain,3883194256,31638409598832,Paid Search,Bing,Known Visitior,2023-04-26,02:38:54,128,54,64,6,54,1,1,fakepage.co.uk/products
126,"Banks, Rose and Kelly",EU,Monaco,8146646107,40319352297750,Paid Search,Google,IP Address,2023-05-28,03:30:11,64,1,2,1,1,0,0,fakepage.co.uk/main
127,,EU,Germany,0949341638,63191299020112,Paid Search,Bing,IP Address,2023-12-06,06:34:09,27,1,2,1,1,0,0,fakepage.co.uk/main
128,Jackson-King,EU,United Kingdom,1186438288,74990354494228,Paid Search,Google,IP Address,2023-08-09,02:50:14,15,1,2,1,1,0,0,fakepage.co.uk/main
129,,NA,Greenland,9697626658,81282104228476,Referral,Partner-site,Known Visitior,2023-09-24,20:33:04,57,3,6,1,2,3,0,fakepage.co.uk/products
130,Davis Ltd,EU,Germany,6979319567,12222437313052,Direct,None,IP Address,2023-11-07,02:40:18,136,1,2,1,1,0,0,fakepage.co.uk/main
131,"Ball, Torres and Anderson",AS,Iraq,1002623433,27983548594962,Direct,None,IP Address,2023-07-07,02:13:53,141,1,2,1,1,0,0,fakepage.co.uk/products
132,"Morton, Peterson and Russell",EU,Belarus,0207091172,37929676947250,Paid Search,Bing,IP Address,2023-04-07,22:18:14,67,1,2,1,1,0,0,fakepage.co.uk/main
133,"Wright, Kennedy and Hernandez",EU,Finland,1405457553,72143420849880,Organic Search,Google,IP Address,2023-01-04,19:15:41,141,1,2,1,1,0,0,fakepage.co.uk/boom
134,"Smith, Robertson and Jones",AS,"Palestine, State of",4110962001,21078337651126,Email,Targeted Ad,IP Address,2023-10-12,15:04:48,105,1,2,1,1,0,0,fakepage.co.uk/main
135,Sparks-Ruiz,EU,Svalbard and Jan Mayen,0253959146,73172546376325,Paid Search,Google,IP Address,2023-10-01,16:19:47,127,1,2,1,1,0,0,fakepage.co.uk/main
136,,EU,San Marino,6988676167,32847656223574,Organic Search,Google,Known Visitior,2023-09-30,12:46:14,111,6,12,2,10,0,0,fakepage.co.uk/products
137,,NA,Saint Vincent and the Grenadines,3549155145,37802241593504,Paid Search,Google,Known Visitior,2023-04-24,13:27:07,30,2,3,1,2,0,0,fakepage.co.uk/products
138,,EU,Poland,1270631364,88132403169779,Organic Search,Google,Marketo,2023-08-02,13:24:01,121,4,8,1,5,2,0,fakepage.co.uk/main
139,,NA,Canada,6496697545,26826394466517,Paid Search,Google,IP Address,2023-08-18,23:54:16,23,1,2,1,1,0,0,fakepage.co.uk/main
140,Bowers-Garcia,EU,Liechtenstein,0363034596,30318006261721,Organic Social,LinkedIn,Known Visitior,2023-11-28,04:11:56,153,2,3,1,2,0,0,fakepage.co.uk/products
141,Miller LLC,AS,Qatar,3338567003,41324653939012,Paid Search,Google,Known Visitior,2023-07-04,23:22:28,15,2,3,1,2,0,0,fakepage.co.uk/boom
142,Ward LLC,NA,Canada,8547736069,61652736878788,Paid Search,Google,IP Address,2023-03-04,22:19:15,142,1,2,1,1,0,0,fakepage.co.uk/main
143,,NA,Trinidad and Tobago,7318205376,22216191392131,Paid Search,Google,Marketo,2023-01-20,12:33:31,15,68,74,14,40,2,1,fakepage.co.uk/main
144,Gutierrez-Green,EU,Belgium,7425492882,51552845828313,Paid Search,Bing,Known Visitior,2023-08-12,08:25:28,186,2,3,1,2,0,0,fakepage.co.uk/products
145,Torres Inc,NA,Cayman Islands,0470185564,92447667248806,Organic Search,Google,Known Visitior,2023-04-23,09:10:22,21,2,3,1,2,0,0,fakepage.co.uk/aboutus
146,"Vang, Peterson and Nelson",AS,Azerbaijan,4791877892,55608616389525,Paid Search,Google,Known Visitior,2023-05-26,05:12:12,64,6,9,1,7,1,0,fakepage.co.uk/boom
147,Gibson Group,EU,Latvia,1827785999,07134163494011,Paid Search,Bing,Known Visitior,2023-12-30,10:27:25,15,15,16,9,6,1,0,fakepage.co.uk/aboutus
148,Randolph PLC,EU,Slovakia,3429907727,13973444595172,Paid Search,Google,Marketo,2023-08-05,14:38:07,167,13,16,9,2,3,1,fakepage.co.uk/aboutus
149,Terry LLC,EU,Croatia,6696278490,17484986590308,Paid Search,Google,Known Visitior,2023-08-26,07:23:35,37,2,4,1,2,1,0,fakepage.co.uk/products
150,,NA,United States,6116342817,05308192020843,Paid Search,Google,Known Visitior,2023-11-01,06:33:40,38,4,5,1,2,1,1,fakepage.co.uk/products
151,Swanson Inc,EU,Russian Federation,8815609729,57939671881540,Organic Social,Facebook,Known Visitior,2023-10-25,05:11:29,172,6,12,8,2,1,1,fakepage.co.uk/boom
152,,EU,Greece,8852793307,73536243461304,Organic Search,Bing,Known Visitior,2023-10-08,18:22:37,62,4,6,1,2,3,0,fakepage.co.uk/aboutus
153,,EU,United Kingdom,6609777480,83100084086587,Paid Search,Google,Known Visitior,2023-11-17,19:36:26,43,2,3,1,2,0,0,fakepage.co.uk/aboutus
154,"Holmes, Vargas and May",EU,Albania,8326234550,54927698583026,Email,Newsletter,IP Address,2023-03-24,20:26:47,91,1,2,1,1,0,0,fakepage.co.uk/main
155,"Coleman, Jones and Reed",AS,Japan,4763265726,42340463258026,Email,Promo-Campaign,Known Visitior,2023-10-10,12:35:01,136,2,3,1,2,0,0,fakepage.co.uk/aboutus
156,Davis PLC,EU,Latvia,0554311082,53115499210710,Paid Search,Google,Marketo,2023-09-02,23:40:28,49,5,10,6,2,1,1,fakepage.co.uk/aboutus
157,"Ayala, Singh and Davis",NA,Bermuda,8655947714,72906458925586,Paid Search,Bing,IP Address,2023-05-02,21:08:10,136,1,2,1,1,0,0,fakepage.co.uk/products
158,Foster Ltd,EU,Isle of Man,1660371489,03598207973020,Direct,None,IP Address,2023-03-27,09:31:15,28,1,2,1,1,0,0,fakepage.co.uk/main
159,,AS,Syrian Arab Republic,3850156261,73384857190927,Organic Search,Google,Known Visitior,2023-10-03,12:10:55,55,6,8,1,3,2,1,fakepage.co.uk/products
160,"Armstrong, Barry and Johnson",EU,Gibraltar,6640618812,99358630680994,Organic Search,Google,IP Address,2023-09-07,18:19:05,15,1,2,1,1,0,0,fakepage.co.uk/products
